model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,2,7.94,7.13,28.7,41.92,59.97,75.14,14.55,7.94,7.13,28.7,41.92,59.97,75.14,95.9,95.51,89.53
MLP-minilm,3,8.35,14.26,28.56,40.16,57.72,72.92,15.87,8.35,14.26,28.56,40.16,57.72,72.92,95.71,95.26,89.46
MLP-minilm,4,7.22,14.58,25.9,40.43,57.18,74.05,15.15,7.22,14.58,25.9,40.43,57.18,74.05,95.58,95.16,89.21
MLP-bert,0,1.67,1.71,8.8,16.52,28.07,44.36,4.39,1.67,1.71,8.8,16.52,28.07,44.36,87.91,86.72,80.66
MLP-bert,1,1.76,2.62,8.98,18.05,29.96,42.78,4.12,1.76,2.62,8.98,18.05,29.96,42.78,88.2,87.12,79.83
MLP-bert,2,0.63,1.99,10.51,17.19,33.26,44.81,4.63,0.63,1.99,10.51,17.19,33.26,44.81,88.31,87.2,80.46
MLP-bert,3,1.62,0.86,9.79,17.87,31.0,40.57,4.04,1.62,0.86,9.79,17.87,31.0,40.57,88.44,86.96,79.9
MLP-bert,4,0.36,2.44,11.46,19.9,30.01,44.45,3.93,0.36,2.44,11.46,19.9,30.01,44.45,88.49,87.12,80.6
MLP-e5-large,0,6.14,3.7,13.18,26.44,36.91,59.97,10.67,6.14,3.7,13.18,26.44,36.91,59.97,93.98,92.54,87.43
MLP-e5-large,1,6.45,13.99,13.94,28.25,36.01,61.82,10.52,6.45,13.99,13.94,28.25,36.01,61.82,93.97,93.15,86.03
MLP-e5-large,2,6.32,9.43,21.62,28.16,40.34,54.96,12.61,6.32,9.43,21.62,28.16,40.34,54.96,92.17,91.37,84.09
MLP-e5-large,3,6.95,12.18,18.86,25.18,41.7,55.64,11.82,6.95,12.18,18.86,25.18,41.7,55.64,93.76,92.8,86.55
MLP-e5-large,4,3.88,5.87,13.67,20.53,31.72,55.1,8.83,3.88,5.87,13.67,20.53,31.72,55.1,92.32,91.31,84.09
MLP-llama,0,0.0,20.94,35.11,52.39,76.35,90.79,17.28,0.0,20.94,35.11,52.39,76.35,90.79,98.07,97.58,93.84
MLP-llama,1,15.34,16.16,36.28,49.73,73.92,89.12,22.42,15.34,18.01,36.28,49.73,73.92,89.12,98.05,97.57,93.61
MLP-llama,2,18.23,9.25,45.58,53.07,77.39,88.18,26.78,18.23,9.25,45.58,53.07,77.39,88.18,97.92,97.67,93.3
MLP-llama,3,12.73,12.27,31.18,55.01,74.95,87.64,20.9,12.73,13.45,31.18,55.01,74.95,87.64,97.74,97.27,92.69
MLP-llama,4,8.53,24.19,43.01,51.85,77.17,89.12,21.1,8.53,24.19,43.01,51.85,77.17,89.12,98.1,97.91,93.37
MLP-minilm,0,0.5,2.03,4.38,6.09,14.71,22.92,2.22,0.5,2.03,4.38,6.09,14.71,22.92,71.38,72.08,66.25
MLP-minilm,1,0.54,2.12,5.05,6.23,12.41,21.53,2.27,0.54,2.12,5.05,6.23,12.41,21.53,71.03,71.55,65.68
MLP-minilm,2,1.85,3.43,4.83,9.07,14.26,23.29,3.54,1.85,3.43,4.92,9.07,14.26,23.29,71.59,72.66,65.91
MLP-minilm,3,0.86,1.49,4.56,7.67,13.94,23.15,2.89,0.86,1.49,4.56,7.67,13.94,23.15,71.54,72.52,66.29
MLP-minilm,4,2.35,3.34,5.55,7.45,13.54,22.61,3.77,2.35,3.34,5.55,7.45,13.54,22.61,71.17,72.14,65.73
MLP-bert,0,0.09,2.48,6.23,12.41,20.08,28.93,2.58,0.09,2.48,6.23,12.41,20.08,28.93,77.9,77.73,69.88
