model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,1,8.75,12.17,32.32,55.51,87.83,92.4,19.49,8.75,12.17,32.32,55.51,87.83,92.4,89.58,88.88,84.03
MLP-minilm,2,6.08,9.13,38.78,52.47,83.65,92.78,15.16,6.08,9.13,38.78,52.47,83.65,92.78,89.69,88.75,83.46
MLP-minilm,3,8.37,28.14,32.7,60.46,85.55,92.4,20.1,8.37,28.14,32.7,60.46,85.55,92.4,89.56,88.78,83.65
MLP-minilm,4,9.51,11.03,36.88,52.47,87.45,92.78,19.72,9.51,11.03,36.88,52.47,87.45,92.78,90.05,89.25,84.03
MLP-bert,0,1.9,4.94,8.37,19.39,36.5,44.49,6.8,1.9,4.94,8.37,19.39,36.5,63.12,65.96,66.77,59.7
MLP-bert,1,1.9,8.75,14.07,22.05,29.66,56.65,7.81,1.9,8.75,14.07,22.05,29.66,52.47,65.35,63.23,59.7
MLP-bert,2,3.42,7.98,14.07,25.48,36.5,55.89,8.28,3.42,7.98,14.07,25.48,36.5,53.23,63.7,67.11,59.51
MLP-bert,3,1.52,6.46,12.17,23.95,38.02,58.94,7.6,1.52,6.46,12.17,23.95,38.02,58.94,68.6,66.82,62.93
MLP-bert,4,3.42,4.94,10.27,17.87,35.36,63.12,7.06,3.42,4.94,10.27,17.87,35.36,63.12,65.48,65.09,57.6
MLP-e5-large,0,6.46,11.41,22.05,29.28,49.43,71.86,12.6,6.46,11.41,22.05,29.28,49.43,71.86,72.74,73.93,67.3
MLP-e5-large,1,7.22,9.89,22.43,29.66,51.71,73.76,12.89,7.22,9.89,22.43,29.66,51.71,73.76,74.56,75.46,69.58
MLP-e5-large,2,7.6,10.27,22.43,34.22,51.71,75.29,14.14,7.6,10.27,22.43,34.22,51.71,75.29,75.09,76.24,70.15
MLP-e5-large,3,6.08,9.51,19.77,28.52,49.81,71.86,12.6,6.08,9.51,19.77,28.52,49.81,71.86,72.6,73.85,67.49
MLP-e5-large,4,6.08,14.83,24.33,32.7,53.99,76.43,13.26,6.08,14.83,24.33,32.7,53.99,76.43,75.76,76.61,69.77
MLP-minilm,0,20.15,45.25,62.74,76.81,89.35,93.92,33.61,20.15,45.25,62.74,76.81,89.35,93.92,92.61,93.16,83.65
MLP-minilm,1,26.24,50.95,64.26,74.14,86.69,94.3,39.64,26.24,50.95,64.26,74.14,86.69,94.3,92.21,93.03,84.6
MLP-minilm,2,24.71,33.84,55.51,72.62,86.31,95.44,34.24,24.71,33.84,55.51,72.62,86.31,95.44,92.15,92.69,82.89
MLP-minilm,3,19.01,39.54,64.26,77.57,88.59,93.92,35.16,19.01,39.54,64.26,77.57,88.59,93.92,92.4,93.11,82.51
MLP-minilm,4,17.11,24.33,60.84,71.86,88.59,95.44,33.32,17.11,24.33,60.84,71.86,88.59,95.44,92.47,92.96,83.08
MLP-bert,0,4.18,12.93,14.45,25.48,49.05,66.92,8.83,4.18,12.93,14.45,25.48,49.05,66.92,72.18,71.73,63.31
MLP-bert,1,3.42,8.75,18.63,29.28,39.54,65.02,13.76,3.42,8.75,18.63,29.28,39.54,65.02,70.58,71.2,65.97
MLP-bert,2,6.46,11.41,17.87,27.0,44.87,65.78,10.75,6.46,11.41,17.87,27.0,44.87,65.78,71.64,71.58,62.93
MLP-bert,3,4.94,6.08,15.59,25.86,42.59,73.0,9.15,4.94,6.08,15.59,25.86,42.59,73.0,72.92,72.63,66.16
MLP-bert,4,6.84,5.7,13.69,23.57,47.53,69.96,8.69,6.84,5.7,13.69,23.57,47.53,69.96,71.98,71.84,66.35
MLP-e5-large,0,20.15,37.26,54.37,70.72,83.65,92.02,34.37,20.15,37.26,54.37,70.72,83.65,92.02,90.87,91.53,78.14
MLP-e5-large,1,20.53,32.32,54.75,66.54,83.65,93.16,33.6,20.53,32.32,54.75,66.54,83.65,93.16,90.9,91.39,78.71
MLP-e5-large,2,29.28,31.94,56.27,69.58,83.27,93.92,38.22,29.28,31.94,56.27,69.58,83.27,93.92,91.22,91.77,77.95
MLP-e5-large,3,28.52,32.7,53.23,65.4,83.65,92.78,36.33,28.52,32.7,53.23,65.4,83.65,92.78,90.33,90.83,76.81
MLP-e5-large,4,18.63,32.32,56.65,68.44,84.41,93.54,35.4,18.63,32.32,56.65,68.44,84.41,93.54,91.08,91.64,78.9
MLP-llama,0,17.11,31.56,46.01,53.61,73.38,88.21,29.53,17.11,31.56,46.01,53.61,73.38,88.21,86.19,87.59,78.71
MLP-llama,1,7.98,13.31,42.59,49.43,71.48,88.59,20.34,7.98,13.31,39.54,49.43,71.48,88.59,84.97,85.96,76.43
MLP-llama,2,0.76,12.93,45.25,52.09,72.62,89.35,10.65,0.76,12.93,45.25,52.09,72.62,89.35,84.88,82.9,78.33
MLP-llama,3,1.9,10.65,19.77,52.09,75.67,89.73,8.73,1.9,10.65,19.77,46.01,69.58,87.07,85.22,82.81,77.0
MLP-llama,4,0.38,4.94,33.46,49.05,71.86,88.97,8.32,0.38,13.69,30.04,41.06,71.86,88.97,85.28,83.54,77.19
MLP-minilm,0,8.37,10.65,26.62,41.44,67.3,89.73,15.71,8.37,10.65,26.62,41.44,67.3,89.73,83.86,83.33,76.05
MLP-minilm,1,4.18,7.98,27.38,45.63,69.96,86.31,8.43,4.18,7.98,27.38,45.63,69.96,86.31,84.16,83.69,75.1
MLP-minilm,2,1.9,16.73,27.76,45.25,68.44,88.97,19.89,1.9,16.73,27.76,45.25,68.44,88.97,84.28,83.6,77.38
MLP-minilm,3,4.94,8.75,25.1,41.83,65.02,88.59,20.19,4.94,8.75,25.1,41.83,65.02,88.59,84.13,83.78,76.24
MLP-minilm,4,4.18,10.27,32.7,47.15,69.96,88.21,17.51,4.18,10.27,32.7,47.15,69.96,88.21,84.52,83.99,77.19
MLP-bert,0,4.56,10.27,18.63,21.29,43.73,67.68,11.74,4.56,10.27,18.63,21.29,43.73,67.68,73.72,72.58,64.26
MLP-bert,1,4.94,8.75,22.05,25.86,44.87,61.6,9.95,4.94,8.75,22.05,25.86,44.87,61.6,71.67,72.7,62.74
MLP-bert,2,5.32,10.27,26.24,33.84,45.63,59.7,10.21,5.32,10.27,26.24,33.84,45.63,59.7,71.49,72.86,61.22
MLP-bert,3,4.18,7.98,22.81,26.62,37.64,63.12,8.67,4.18,7.98,22.81,26.62,37.64,63.12,70.37,71.33,61.98
MLP-bert,4,3.42,11.41,22.43,30.42,44.11,66.16,12.55,3.42,11.41,22.43,30.42,44.11,66.16,72.46,73.1,65.02
MLP-e5-large,0,6.08,6.08,16.73,23.19,39.54,57.03,10.2,6.08,6.08,16.73,23.19,39.54,57.03,63.77,66.67,58.93
MLP-e5-large,1,5.7,5.7,17.49,21.67,34.6,57.03,9.32,5.7,5.7,17.49,21.67,34.6,57.03,63.47,66.32,59.32
MLP-e5-large,2,4.94,5.7,17.11,21.67,34.22,58.94,10.32,4.94,5.7,17.11,21.67,34.22,58.94,63.85,66.58,59.32
MLP-e5-large,3,3.04,5.7,16.35,23.57,34.6,60.08,10.25,3.04,5.7,16.35,23.57,34.6,60.08,63.72,66.68,59.7
MLP-e5-large,4,4.56,6.46,20.53,22.43,38.4,60.46,9.64,4.56,6.46,20.53,22.43,38.4,60.46,64.39,67.14,60.27
MLP-llama,0,7.98,20.15,28.14,50.19,80.99,93.92,19.73,7.98,20.15,28.14,50.19,80.99,93.92,88.79,87.12,80.23
MLP-llama,1,6.46,15.21,32.32,60.08,82.89,94.3,16.9,6.46,15.21,32.32,60.08,82.89,94.3,89.69,88.7,82.51
MLP-llama,2,4.56,9.51,29.28,57.79,77.19,95.82,11.97,4.56,9.51,29.28,57.79,77.19,95.82,88.1,84.33,81.75
MLP-llama,3,0.0,18.25,33.46,52.85,84.03,91.25,17.51,0.0,18.25,33.46,52.85,84.03,91.25,88.38,86.84,83.08
MLP-llama,4,9.89,19.39,26.62,61.22,82.89,93.54,19.95,9.89,19.39,26.62,61.22,82.89,93.54,88.69,87.15,81.75
MLP-minilm,0,23.32,42.29,61.26,73.12,84.58,88.54,36.6,23.32,42.29,61.26,73.12,84.58,88.54,89.23,91.18,81.62
MLP-minilm,1,30.83,42.29,60.47,71.15,83.79,88.93,39.36,30.83,42.29,60.47,71.15,83.79,88.93,89.17,91.07,80.24
MLP-minilm,2,15.81,43.87,69.96,72.73,83.79,88.93,32.02,15.81,43.87,69.96,72.73,83.79,88.93,89.52,91.31,79.25
MLP-minilm,3,25.69,51.78,64.43,74.7,83.0,90.12,38.84,25.69,51.78,64.43,74.7,83.0,90.12,89.66,91.53,79.25
MLP-minilm,4,21.74,33.2,61.66,70.75,84.19,90.51,35.01,21.74,33.2,61.66,70.75,84.19,90.51,89.75,91.26,79.45
MLP-bert,0,3.56,9.09,12.65,17.39,33.99,60.47,8.25,3.56,9.09,12.65,17.39,33.99,60.47,65.23,65.82,61.86
MLP-minilm,0,38.74,37.94,56.13,67.59,83.0,90.51,44.24,38.74,37.94,56.13,67.59,83.0,90.51,89.66,91.08,81.03
MLP-minilm,1,16.6,41.5,61.26,70.36,84.98,92.49,35.94,16.6,41.5,61.26,70.36,84.98,92.49,90.92,92.07,80.83
MLP-minilm,2,32.81,43.87,58.89,69.96,80.24,91.3,42.9,32.81,43.87,58.89,69.96,80.24,91.3,90.41,91.72,82.02
MLP-minilm,3,27.27,49.8,63.24,69.17,80.63,94.07,37.37,27.27,49.8,63.24,69.17,80.63,94.07,90.92,92.09,79.84
MLP-minilm,4,35.18,38.34,57.31,65.22,82.61,92.09,41.45,35.18,38.34,57.31,65.22,82.61,92.09,90.37,91.37,81.22
MLP-bert,0,0.0,8.7,17.0,20.16,40.71,65.61,6.9,0.0,8.7,17.0,20.16,40.71,65.61,69.57,68.18,63.24
MLP-bert,1,0.0,7.91,16.21,22.13,36.36,65.61,8.59,0.0,7.91,16.21,22.13,36.36,65.61,69.07,67.0,61.26
