model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ft-MLP-minilm,0,0.0,36.84,89.47,100.0,100.0,100.0,19.93,0.0,36.84,89.47,100.0,100.0,100.0,68.14,62.4,0.0
MLP-gemma,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0
MLP-gemma,1,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0
MLP-gemma,2,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0
MLP-gemma,3,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0
MLP-gemma,4,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0
MLP-gemma,0,5.26,10.53,68.42,100.0,100.0,100.0,22.24,5.26,10.53,68.42,100.0,100.0,100.0,65.65,64.1,52.63
MLP-gemma,1,0.0,5.26,31.58,100.0,100.0,100.0,9.77,0.0,5.26,31.58,100.0,100.0,100.0,34.35,42.35,47.37
MLP-gemma,2,5.26,10.53,68.42,100.0,100.0,100.0,23.04,5.26,10.53,68.42,100.0,100.0,100.0,65.93,64.93,60.53
MLP-gemma,3,31.58,47.37,68.42,100.0,100.0,100.0,44.29,31.58,47.37,68.42,100.0,100.0,100.0,69.81,76.82,55.26
MLP-gemma,4,0.0,5.26,31.58,100.0,100.0,100.0,9.77,0.0,5.26,31.58,100.0,100.0,100.0,34.35,42.35,44.74
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-deberta,0,0.0,0.0,0.0,100.0,100.0,100.0,9.52,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0
ft-MLP-minilm,0,0.0,36.84,63.16,100.0,100.0,100.0,23.11,0.0,36.84,63.16,100.0,100.0,100.0,57.89,62.09,0.0
