model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
NeoGNN,4,30.66,34.82,55.8,60.08,68.35,71.81,38.22,30.66,34.82,55.8,60.08,68.35,71.81,85.3,87.59,81.51
BUDDY,0,6.74,11.96,17.64,28.37,40.04,49.41,10.77,6.74,11.96,17.64,28.37,40.04,49.41,80.78,83.33,69.84
BUDDY,1,1.11,10.73,23.45,30.3,37.81,46.31,8.52,1.11,10.73,23.45,30.3,37.81,46.31,80.52,83.18,64.36
BUDDY,2,8.73,8.85,22.74,26.08,40.5,51.17,13.07,8.73,8.85,22.74,26.08,40.5,51.17,81.93,84.45,69.61
BUDDY,3,11.72,16.06,18.41,25.85,37.28,47.13,15.03,11.72,16.06,18.41,25.85,37.28,47.13,81.49,83.69,49.91
BUDDY,4,0.29,4.87,18.7,26.67,36.4,45.02,5.82,0.29,4.87,18.7,26.67,36.4,45.02,80.57,82.85,72.8
ELPH,0,24.91,33.76,48.59,50.94,57.33,64.19,31.36,24.91,33.76,48.59,50.94,57.33,64.54,87.13,89.69,53.08
ELPH,1,5.74,25.26,40.8,51.06,55.45,66.71,19.65,5.74,25.26,40.8,51.06,55.45,66.71,86.31,89.06,54.75
ELPH,2,27.32,31.89,47.95,53.52,64.89,69.46,32.92,27.32,31.89,47.95,53.52,64.89,69.46,87.41,90.52,53.11
ELPH,3,14.77,22.04,43.43,50.82,55.57,66.06,26.9,14.77,22.04,43.43,50.82,55.57,66.06,87.98,90.1,52.46
ELPH,4,25.97,34.23,43.43,47.42,54.75,58.68,32.56,25.97,34.23,43.43,47.42,54.75,59.09,86.6,89.52,51.03
BUDDY,0,6.74,13.89,18.93,29.89,41.44,49.41,11.84,6.74,13.89,18.93,29.89,41.44,49.41,80.78,83.33,69.84
BUDDY,1,1.11,10.84,27.26,29.6,37.81,46.31,8.52,1.11,10.84,27.26,29.6,37.81,46.31,80.87,83.42,66.82
BUDDY,2,13.31,15.12,23.97,31.36,41.97,52.29,16.66,13.31,15.12,23.97,31.36,41.97,52.29,82.09,84.5,69.61
BUDDY,3,11.72,15.77,21.63,27.73,39.04,48.77,15.66,11.72,15.77,21.63,27.73,39.04,48.77,81.73,83.94,72.8
BUDDY,4,0.59,12.25,17.7,26.67,37.16,47.07,8.03,0.59,12.25,17.7,26.67,37.16,47.07,80.57,82.88,72.42
BUDDY,0,6.74,14.77,20.05,29.89,41.44,49.41,11.48,6.74,14.77,20.05,29.89,41.44,49.41,80.78,83.33,69.84
MLP-minilm,0,0.88,5.86,13.54,17.35,23.15,27.78,3.85,0.88,5.86,13.54,17.35,23.15,27.78,66.43,71.05,62.98
MLP-minilm,1,0.18,5.63,13.31,17.23,23.74,28.96,5.72,0.18,5.63,13.31,17.23,23.74,28.96,66.31,70.88,62.28
BUDDY,1,1.11,10.84,26.85,32.88,38.92,50.47,10.66,1.11,10.84,26.85,32.88,38.92,50.47,80.93,83.45,66.82
MLP-minilm,2,0.35,6.39,11.9,15.59,21.51,28.84,3.72,0.35,6.39,11.9,15.59,21.51,28.84,65.65,70.22,61.52
BUDDY,2,13.31,15.12,23.97,31.36,41.97,52.17,16.66,13.31,15.12,23.97,31.36,41.97,52.17,82.23,84.66,69.61
MLP-minilm,3,1.29,5.74,11.9,15.47,21.16,27.67,5.04,1.29,5.74,11.9,15.47,21.16,27.67,66.85,70.66,61.69
MLP-minilm,4,1.47,5.16,13.48,16.65,22.57,27.02,5.6,1.47,5.16,13.48,16.65,22.57,27.02,65.78,70.33,62.54
BUDDY,3,12.66,15.83,23.33,29.19,39.1,50.41,16.48,12.66,15.83,23.33,29.19,39.1,50.41,81.82,84.09,72.8
BUDDY,4,2.11,8.32,21.28,27.32,37.16,47.07,7.35,2.11,8.32,21.28,27.32,37.16,47.07,80.57,82.88,58.67
MLP-bert,0,2.7,7.5,10.9,13.83,19.11,24.56,5.43,2.7,7.5,10.9,13.83,19.11,24.56,65.91,69.37,62.16
MLP-minilm,0,14.65,15.71,18.05,23.97,30.72,39.1,16.26,14.65,15.71,18.05,23.97,30.72,39.1,74.48,78.18,67.38
MLP-bert,1,5.04,7.44,11.08,14.01,17.29,24.5,6.73,5.04,7.44,11.08,14.01,17.29,24.5,65.2,69.37,60.96
MLP-minilm,1,10.67,13.07,21.57,24.33,32.0,38.8,14.38,10.67,13.07,21.57,24.33,32.0,38.8,74.69,78.42,68.67
MLP-minilm,2,7.68,10.61,20.87,22.92,30.42,37.4,10.16,7.68,10.61,20.87,22.92,30.42,37.4,73.93,77.76,67.32
MLP-minilm,3,6.1,14.13,17.76,19.99,31.48,37.69,11.82,6.1,14.13,17.76,19.99,31.48,37.69,73.77,77.57,68.49
