Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pubmed_runygm2l1i2_BUDDY_hyperb1r2hqrs,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyper3grigrbh,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyper2e9dez6u,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperfdtpxred,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperxmko87fy,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyper4k8g4qqw,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hypercq50z6dt,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hypercj6h4jn2,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hypere06m5hr4,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyperckq3gc9z,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.5,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperou3bki0s,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyperrxjjdpax,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperqscz71j4,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperwkvnf72p,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hypermg8wem4o,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyperionwn336,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper2j85x5cb,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperu371xam7,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hypermfic4ua7,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.1,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperejui8r2p,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyper5ilt5hyn,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperlhom314d,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperl4qd56pq,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyperj4scr6kz,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hypersryvze56,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyperqzwq4dm7,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperixcnkm91,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hypers47xrnhr,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.3,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperz6fo1blb,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hypers7ijeegk,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperx8m7usyx,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyper570n0qt5,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyper64ijb09u,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyper2xqbu5fd,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper77ont464,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyper7rypmalq,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.5,0.3
