Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
arxiv_2023_runkc3jiuz3_ELPH_hyperpuyp48do,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperdzhqmlh2,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperu8imgs7q,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypern80ivdkm,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper5u898z98,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperdn2io4xq,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper5zh1buau,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper7fvqua7m,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperx57pcfum,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypertx8pftmb,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,2,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperap4fkasf,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hypertqxun6sm,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperskvs540m,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperq1zwz0j8,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperhab3qgwg,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper44bunqj8,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperl1aj2c4g,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperp9ek02oe,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper7b0y15xj,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.0001,3,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperkyd1784t,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperblh3fht2,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypereql05z4d,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperluesa1q5,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperguie5x5t,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperr8j4jr8j,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper78ui56pd,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hypers8w928km,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperw20xvrd6,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,2,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperuv0ubj1x,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperv9v2t2u0,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypern62uncy2,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypersu27skpv,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperebp7cf69,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperhh2gzds7,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperllq5b4zx,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper7pwa57fd,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperagm4u6hd,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.01,3,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperpdp5qv21,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperr7kvd61m,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper7zv037jq,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper6jpyo5yp,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper95bad7uw,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperhd2k1dex,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper1396thpm,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperxut5auip,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypercbs7066m,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,2,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperh6648e5g,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper3k7szzbp,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperkdn6mllt,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper4lcoja51,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperjnaumic1,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypereak0t1c2,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypervd0bgt25,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper0vp7xrqg,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperes0316f1,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.001,3,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper7ktdhhj4,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperrvqw6t8z,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypercr5y8q72,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperogfjuy1f,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperz9ah24j3,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper706hjbki,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperxlsqpky8,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper91ttha33,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper1muqtqg3,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,1024,0.0001,2,0.5,0.5,
