Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
cora_runrdpq098m_BUDDY_hyperl0vvu8n9,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.3,0.1
cora_runrdpq098m_BUDDY_hyper0ily3ev8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.3,0.3
cora_runrdpq098m_BUDDY_hyperq1gslhpo,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.3,0.5
cora_runrdpq098m_BUDDY_hyperqyahxb5h,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.5,0.1
cora_runrdpq098m_BUDDY_hypere91zwnld,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.5,0.3
cora_runrdpq098m_BUDDY_hyper36vbdnis,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.5,0.5
cora_runrdpq098m_BUDDY_hyper6zkngoeb,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.1,0.1
cora_runrdpq098m_BUDDY_hypercnzts2cv,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.1,0.3
cora_runrdpq098m_BUDDY_hyperm2fvk7ir,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.1,0.5
cora_runrdpq098m_BUDDY_hypernvj9kzm3,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.3,0.1
cora_runrdpq098m_BUDDY_hyperteawrsm1,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.3,0.3
cora_runrdpq098m_BUDDY_hypertls8pmfc,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.3,0.5
cora_runrdpq098m_BUDDY_hyperv8a58o03,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.5,0.1
cora_runrdpq098m_BUDDY_hyperbevft9go,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.5,0.3
cora_runrdpq098m_BUDDY_hyperlrexfoj8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.5,0.5,0.5
cora_runrdpq098m_BUDDY_hyperl782cwcn,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.1,0.1
cora_runrdpq098m_BUDDY_hypero5j3xrf2,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.1,0.3
cora_runrdpq098m_BUDDY_hypersee9xt84,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.1,0.5
cora_runrdpq098m_BUDDY_hyperw87ms78t,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.3,0.1
cora_runrdpq098m_BUDDY_hypern262dom8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.3,0.3
cora_runrdpq098m_BUDDY_hypertpx1vsab,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.3,0.5
cora_runrdpq098m_BUDDY_hyperepqzol1t,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.5,0.1
cora_runrdpq098m_BUDDY_hyperxaaixqka,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.5,0.3
cora_runrdpq098m_BUDDY_hyperkm2y5f9x,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.1,0.5,0.5
cora_runrdpq098m_BUDDY_hyper3cjdy3o3,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.1,0.1
cora_runrdpq098m_BUDDY_hyperi6gyrvfb,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.1,0.3
cora_runrdpq098m_BUDDY_hyper2n6qzr2w,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.1,0.5
cora_runrdpq098m_BUDDY_hypernw1jw5xx,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.3,0.1
cora_runrdpq098m_BUDDY_hypermhtecx95,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.3,0.3
cora_runrdpq098m_BUDDY_hyperq8dh6r2v,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.3,0.5
cora_runrdpq098m_BUDDY_hyperf0xarf15,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.5,0.1
cora_runrdpq098m_BUDDY_hyperjmz9svka,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.5,0.3
cora_runrdpq098m_BUDDY_hyperc5drvlb9,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.3,0.5,0.5
cora_runrdpq098m_BUDDY_hyperjbv7hvck,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.1,0.1
cora_runrdpq098m_BUDDY_hyper79dtuyac,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.1,0.3
cora_runrdpq098m_BUDDY_hyperh0ix24sw,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.1,0.5
cora_runrdpq098m_BUDDY_hyperxrsgho4g,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.3,0.1
cora_runrdpq098m_BUDDY_hyperkm3g2unr,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.3,0.3
cora_runrdpq098m_BUDDY_hypergemljv6d,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.3,0.5
cora_runrdpq098m_BUDDY_hypervtkg5jk6,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.5,0.1
cora_runrdpq098m_BUDDY_hyper6gsu46f8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.5,0.3
cora_runrdpq098m_BUDDY_hyper3fhzvwf5,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,3,0.5,0.5,0.5
cora_runrdpq098m_BUDDY_hyperr739jute,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.1,0.1
cora_runrdpq098m_BUDDY_hyper4h4zq53t,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.1,0.3
cora_runrdpq098m_BUDDY_hyper8v84n147,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.1,0.5
cora_runrdpq098m_BUDDY_hyper62g30zfm,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.3,0.1
cora_runrdpq098m_BUDDY_hyper0vun5iry,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.3,0.3
cora_runrdpq098m_BUDDY_hyper7xi7bck5,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.3,0.5
cora_runrdpq098m_BUDDY_hyperwytiqn64,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.5,0.1
cora_runrdpq098m_BUDDY_hyperg6bvcudb,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.5,0.3
cora_runrdpq098m_BUDDY_hypertdpak829,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.0001,2,0.1,0.5,0.5
