Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
llama-arxiv_2023-origin_dot,1.88 ± nan,7.39 ± nan,10.49 ± nan,15.59 ± nan,22.16 ± nan,27.26 ± nan,5.48 ± nan,1.88 ± nan,7.39 ± nan,10.49 ± nan,15.59 ± nan,22.16 ± nan,27.26 ± nan,68.41 ± nan,71.53 ± nan,64.65 ± nan
ncn-arxiv_2023,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,39.07 ± nan,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,97.40 ± nan,97.62 ± nan,91.68 ± nan
ncnc-arxiv_2023,9.61 ± nan,44.61 ± nan,59.91 ± nan,66.12 ± nan,78.43 ± nan,88.04 ± nan,28.65 ± nan,9.61 ± nan,44.61 ± nan,59.91 ± nan,66.12 ± nan,78.43 ± nan,88.04 ± nan,97.08 ± nan,97.18 ± nan,91.53 ± nan
llama-arxiv_2023-origin_dot,0.00 ± nan,18.70 ± nan,48.48 ± nan,74.03 ± nan,84.00 ± nan,91.09 ± nan,23.45 ± nan,0.00 ± nan,31.48 ± nan,60.49 ± nan,74.03 ± nan,84.00 ± nan,91.09 ± nan,98.02 ± nan,97.94 ± nan,92.79 ± nan
ncn-arxiv_2023,27.73 ± nan,39.80 ± nan,65.30 ± nan,72.16 ± nan,83.88 ± nan,89.98 ± nan,41.39 ± nan,27.73 ± nan,39.80 ± nan,65.30 ± nan,72.16 ± nan,83.88 ± nan,89.98 ± nan,97.38 ± nan,97.68 ± nan,92.26 ± nan
ncnc-arxiv_2023,41.09 ± nan,32.00 ± nan,59.96 ± nan,70.57 ± nan,82.06 ± nan,89.33 ± nan,48.48 ± nan,41.09 ± nan,32.00 ± nan,59.96 ± nan,70.57 ± nan,82.06 ± nan,89.33 ± nan,97.18 ± nan,97.61 ± nan,92.20 ± nan
llama-arxiv_2023-origin_dot,8.38 ± nan,26.67 ± nan,47.01 ± nan,59.73 ± nan,79.37 ± nan,89.62 ± nan,20.21 ± nan,8.38 ± nan,26.67 ± nan,47.01 ± nan,59.73 ± nan,79.37 ± nan,89.62 ± nan,97.46 ± nan,97.29 ± nan,92.56 ± nan
llama-arxiv_2023-origin_dot,13.83 ± nan,29.54 ± nan,46.83 ± nan,62.78 ± nan,74.15 ± nan,88.75 ± nan,29.06 ± nan,13.83 ± nan,29.54 ± nan,46.83 ± nan,62.78 ± nan,74.15 ± nan,88.75 ± nan,97.52 ± nan,97.31 ± nan,92.35 ± nan
llama-arxiv_2023-origin_dot,0.12 ± nan,36.28 ± nan,56.51 ± nan,64.01 ± nan,79.37 ± nan,89.57 ± nan,21.24 ± nan,0.12 ± nan,36.28 ± nan,56.51 ± nan,64.01 ± nan,79.37 ± nan,89.57 ± nan,97.49 ± nan,97.17 ± nan,92.03 ± nan
llama-arxiv_2023-origin_dot,9.73 ± nan,30.83 ± nan,47.83 ± nan,59.55 ± nan,82.24 ± nan,90.04 ± nan,19.20 ± nan,9.73 ± nan,30.83 ± nan,47.83 ± nan,59.55 ± nan,82.24 ± nan,90.04 ± nan,97.57 ± nan,97.40 ± nan,92.20 ± nan
llama-arxiv_2023-origin_dot,0.00 ± nan,40.50 ± nan,59.91 ± nan,70.40 ± nan,83.18 ± nan,90.56 ± nan,24.06 ± nan,0.00 ± nan,40.50 ± nan,59.91 ± nan,70.40 ± nan,83.18 ± nan,90.56 ± nan,97.84 ± nan,97.53 ± nan,92.85 ± nan
