Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
cora_runrp10ku90_SEAL,45.94,64.76,70.85,81.73,94.46,95.94,51.88,45.94,64.76,70.85,81.73,94.46,95.94,96.41,96.86,92.25,32,32,0.001
cora_run5q0wlnuv_SEAL,45.94,50.37,70.85,81.73,94.46,95.94,48.01,45.94,50.37,70.85,81.73,94.46,95.94,96.41,96.86,92.25,32,32,0.0001
cora_run9kew2zoa_SEAL,45.94,50.37,70.85,81.73,94.46,95.94,48.01,45.94,50.37,70.85,81.73,94.46,95.94,96.41,96.86,92.25,32,64,0.001
cora_runoavpns3r_SEAL,45.94,50.37,70.85,81.73,94.46,95.94,48.01,45.94,50.37,70.85,81.73,94.46,95.94,96.41,96.86,92.25,32,64,0.0001
cora_runfptljfi7_SEAL,45.94,50.37,68.63,81.73,94.46,96.86,48.01,45.94,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,32,128,0.001
cora_runrz9wxzbo_SEAL,45.94,50.37,68.63,81.73,94.46,96.86,48.01,45.94,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,32,128,0.0001
cora_run211lgw0k_SEAL,27.68,50.37,68.63,81.73,94.46,96.86,48.01,27.68,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,32,256,0.001
cora_run3liuirwt_SEAL,27.68,50.37,68.63,81.73,94.46,96.86,48.01,27.68,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,32,256,0.0001
cora_runin998vud_SEAL,27.68,50.37,68.63,81.73,94.46,96.86,48.01,27.68,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,32,0.001
cora_runxunbmdvp_SEAL,27.68,50.37,68.63,81.73,94.46,96.86,48.01,27.68,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,32,0.0001
cora_run1todmqxu_SEAL,27.68,50.37,68.63,81.73,94.46,96.86,48.01,27.68,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,64,0.001
cora_run8ycrnt1r_SEAL,27.68,50.37,68.63,81.73,94.46,96.86,48.01,27.68,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,64,0.0001
cora_runi51i5yv2_SEAL,35.61,50.37,68.63,81.73,94.46,96.86,44.39,35.61,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,128,0.001
cora_runxvb2wh6u_SEAL,35.61,50.37,68.63,81.73,94.46,96.86,44.39,35.61,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,128,0.0001
cora_run11wm5ojl_SEAL,35.61,50.37,68.63,81.73,94.46,96.86,44.39,35.61,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,256,0.001
cora_runcjsfx2p8_SEAL,35.61,50.37,68.63,81.73,94.46,96.86,44.39,35.61,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,64,256,0.0001
cora_runi5tfef47_SEAL,35.61,50.37,68.63,81.73,94.46,96.86,44.39,35.61,50.37,68.63,81.73,94.46,96.86,96.41,97.39,92.25,128,32,0.001
