Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_run<built-in function id>_NCN_hyperbdzoaeiw,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperepamhwte,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperxyxucv8o,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hypervqawsts0,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyper1sfyalr5,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyper0v7yrska,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyper9rrfhzur,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperg8iiegcq,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hyper7uirg5qz,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperjz7b5g2l,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,512
