Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
cora_runuol7yvm3_NeoGNN_hyperuj37feor,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperdw1s0kzh,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hypermmayk5b2,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperv7yb4b77,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperc0xiew2a,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hypery6n5hqcp,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperjyznjf91,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperjn4t4skt,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.1,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperz739sl34,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyper2rxd5zq8,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperxrsswidy,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyper4m1eyw35,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperqbx13s3s,36.72,58.86,77.12,91.51,92.99,95.76,55.62,36.72,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperfnena7fd,36.72,58.86,77.12,91.51,92.99,95.76,55.62,36.72,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyper8nnnj0om,46.13,58.86,77.12,91.51,92.99,95.76,53.58,46.13,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyper1gfv97qe,46.13,58.86,77.12,91.51,92.99,95.76,53.58,46.13,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.3,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hypery2pu94hz,46.13,58.86,77.12,91.51,92.99,95.76,53.58,46.13,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.5,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperelufgcxt,46.13,58.86,77.12,91.51,92.99,95.76,53.58,46.13,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.5,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyper6sfvthva,46.13,58.86,77.12,91.51,92.99,95.76,53.58,46.13,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.5,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperr182hv8f,46.13,58.86,77.12,91.51,92.99,95.76,53.58,46.13,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.5,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperx8wsec33,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,64,128,0.5,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hyper10dlx2oe,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,64,128,0.5,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperoi2f7izs,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,64,128,0.5,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperp1vx15hr,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,64,128,0.5,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperkwdpsy1v,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperzvu1ik1g,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperq2iss426,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,512,8192,0.01
